customer_id,registration_date,full_name,email,phone,city,region,age,gender,customer_segment
1,2022-07-29,Петренко Анна Іванівна,user1@ukr.net,+380502458591,Київ,Київська,55,Ж,Standard
2,2022-02-24,Клименко Дмитро Сергійович,user2@gmail.com,+380504335942,Київ,Київська,63,М,Standard
3,2022-01-14,Ткаченко Максим Сергійович,user3@ukr.net,+380503678638,Білгород-Дністровський,Одеська,62,М,Standard
4,2024-02-18,Коваленко Андрій Олександрович,user4@gmail.com,+380502622631,Лозова,Харківська,40,М,Budget
5,2022-09-13,Василенко Роман Володимирович,user5@ukr.net,+380507350753,Южне,Одеська,23,М,Standard
6,2023-04-12,Іваненко Роман Олександрович,user6@gmail.com,+380505855124,Южне,Одеська,23,М,Budget
7,2024-01-29,Петренко Ірина Петрівна,user7@ukr.net,+380506960453,Вишневе,Київська,31,Ж,Standard
8,2023-07-07,Мельник Петро Володимирович,user8@gmail.com,+380504684531,Бровари,Київська,61,М,Standard
9,2022-05-16,Ткаченко Андрій Володимирович,user9@ukr.net,+380504539704,Бровари,Київська,54,М,Budget
10,2023-06-27,Петренко Світлана Володимирівна,user10@gmail.com,+380503342608,Лозова,Харківська,33,Ж,Standard
11,2023-03-26,Бондаренко Людмила Володимирівна,user11@ukr.net,+380503320821,Южне,Одеська,50,Ж,Standard
12,2024-05-14,Савченко Юрій Іванович,user12@gmail.com,+380502065818,Київ,Київська,42,М,Standard
13,2023-07-01,Павленко Юрій Олександрович,user13@ukr.net,+380506707197,Нікополь,Дніпропетровська,25,М,Standard
14,2023-01-01,Василенко Роман Петрович,user14@gmail.com,+380509517485,Червоноград,Львівська,24,М,Budget
15,2024-12-22,Василенко Андрій Іванович,user15@ukr.net,+380501009594,Лозова,Харківська,56,М,Standard
16,2023-05-09,Іваненко Тетяна Іванівна,user16@gmail.com,+380502321324,Київ,Київська,23,Ж,Standard
17,2022-12-05,Василенко Юрій Володимирович,user17@ukr.net,+380505446912,Бровари,Київська,51,М,Budget
18,2024-02-04,Мельник Роман Петрович,user18@gmail.com,+380508350099,Кривий Ріг,Дніпропетровська,51,М,Standard
19,2023-04-17,Клименко Андрій Олександрович,user19@ukr.net,+380504694634,Дрогобич,Львівська,18,М,Premium
20,2024-11-18,Коваленко Олександр Петрович,user20@gmail.com,+380504993055,Бровари,Київська,35,М,Standard
21,2024-04-13,Савченко Анна Володимирівна,user21@ukr.net,+380504194548,Дрогобич,Львівська,24,Ж,Premium
22,2022-04-21,Литвиненко Світлана Володимирівна,user22@gmail.com,+380502651177,Нікополь,Дніпропетровська,21,Ж,Standard
23,2024-07-07,Василенко Дмитро Іванович,user23@ukr.net,+380503351868,Харків,Харківська,45,М,Standard
24,2022-04-14,Коваленко Максим Сергійович,user24@gmail.com,+380501247595,Кривий Ріг,Дніпропетровська,23,М,Budget
25,2024-04-01,Шевченко Ірина Володимирівна,user25@ukr.net,+380501983738,Дрогобич,Львівська,28,Ж,Standard
26,2024-09-23,Кузьменко Тетяна Володимирівна,user26@gmail.com,+380503597059,Нікополь,Дніпропетровська,30,Ж,Standard
27,2024-09-03,Клименко Марія Олександрівна,user27@ukr.net,+380509436429,Київ,Київська,51,Ж,Standard
28,2023-04-27,Коваленко Іван Сергійович,user28@gmail.com,+380507774229,Одеса,Одеська,25,М,Budget
29,2024-12-06,Мельник Олег Олександрович,user29@ukr.net,+380506307805,Чорноморськ,Одеська,34,М,Standard
30,2023-09-07,Павленко Світлана Іванівна,user30@gmail.com,+380508670955,Лозова,Харківська,38,Ж,Budget
31,2022-05-31,Коваленко Людмила Сергіївна,user31@ukr.net,+380504576135,Київ,Київська,50,Ж,Standard
32,2024-06-16,Петренко Андрій Петрович,user32@gmail.com,+380506075395,Харків,Харківська,57,М,Budget
33,2022-10-03,Семенченко Вікторія Олександрівна,user33@ukr.net,+380505437001,Одеса,Одеська,25,Ж,Budget
34,2023-12-04,Шевченко Тетяна Сергіївна,user34@gmail.com,+380504415796,Чорноморськ,Одеська,61,Ж,Standard
35,2024-05-17,Павленко Марія Олександрівна,user35@ukr.net,+380505641923,Куп'янськ,Харківська,20,Ж,Premium
36,2024-05-25,Василенко Роман Володимирович,user36@gmail.com,+380501162230,Стрий,Львівська,25,М,Premium
37,2024-05-30,Петренко Людмила Сергіївна,user37@ukr.net,+380503138181,Львів,Львівська,20,Ж,Standard
38,2022-07-30,Павленко Юрій Іванович,user38@gmail.com,+380506933742,Біла Церква,Київська,53,М,Budget
